Name,Price,Color
Go,-200,null,
Mediterranean Avenue,50,purple,
Community Chest,0,null,
Baltic Avenue,60,purple,
Income Tax,200,tax,
Reading Railroad,200,railroad,
Oriental Avenue,100,blue,
Chance,0,null,
Vermont Avenue,100,blue,
Connecticut Avenue,120,blue,
In Jail/Just Visiting,0,null,
St. Charles Place,140,pink,
Electric Company,150,utility
States Avenue,140,pink,
Virginia Avenue,160,pink,
Pennsylvania Railroad,200,railroad
St. James Place,180,orange,
Community Chest,0,null,
Tennessee Avenue,180,orange,
New York Avenue,200,orange,
Free Parking,0,null,
Kentucky Avenue,220,red,
Chance,0,null,
Indiana Avenue,220,red,
Illinois Avenue,240,red,
B. &. O. Railroad,200,railroad,
Atlantic Avenue,260,yellow,
Ventnor Avenue,260,yellow,
Water Works,150,utility
Marvin Gardens,280,yellow,
Go To Jail,0,null,
Pacific Avenue,300,green,
North Carolina Avenue,300,green,
Community Chest,0,null,
Pennsylvania Avenue,320,green,
Short Line,200,railroad,
Chance,0,null,
Park Place,350,navy,
Luxury Tax,100,tax,
Boardwalk,400,navy,
